ITERATION,N_LEVELS,TOTAL_AREA,EXT_WALL_M2,INT_WALLS_M2,VOL_BLD,N_DOORS,VOL_BBOX,TYPOLOGY,N_APARTMENTS,SLABS_M2,EXT_SLABS_M2,INT_SLABS_M2,ROOFS_M2
IT_0_TYP_3,2.0,108.0,4304.7,3221.7,324.0,53.0,12150.0,3.0,53.0,171.0,63.0,45.0,63.0
IT_1_TYP_1,2.0,72.0,1954.7,2609.7,216.0,53.0,10584.0,1.0,53.0,117.0,45.0,27.0,45.0
IT_2_TYP_1,3.0,90.0,2509.4,3409.0,270.0,74.0,13689.0,1.0,74.0,126.0,36.0,54.0,36.0
IT_3_TYP_1,3.0,63.0,2475.1,3125.7,189.0,64.0,11664.0,1.0,64.0,90.0,27.0,36.0,27.0
IT_4_TYP_1,5.0,171.0,3412.8,4226.6,513.0,75.0,13500.0,1.0,75.0,207.0,36.0,135.0,36.0
IT_5_TYP_1,5.0,126.0,3062.6,2891.4,378.0,51.0,8640.0,1.0,51.0,180.0,54.0,72.0,54.0
IT_6_TYP_1,4.0,72.0,2262.4,1539.0,216.0,33.0,5292.0,1.0,33.0,90.0,18.0,54.0,18.0
IT_7_TYP_0,4.0,36.0,1380.3,795.8,108.0,17.0,2700.0,0.0,17.0,45.0,9.0,27.0,9.0
IT_8_TYP_0,6.0,54.0,1818.9,1005.0,162.0,22.0,4050.0,0.0,22.0,63.0,9.0,45.0,9.0
IT_9_TYP_0,8.0,72.0,2673.1,1517.4,216.0,29.0,5400.0,0.0,29.0,81.0,9.0,63.0,9.0
IT_10_TYP_1,3.0,720.0,4794.7,4971.4,2160.0,103.0,42336.0,1.0,103.0,990.0,279.0,441.0,270.0
IT_11_TYP_1,4.0,198.0,4206.5,4429.5,594.0,78.0,15552.0,1.0,78.0,270.0,72.0,126.0,72.0
IT_12_TYP_1,5.0,189.0,4083.8,3401.7,567.0,53.0,10935.0,1.0,53.0,234.0,45.0,144.0,45.0
IT_13_TYP_1,5.0,117.0,2249.3,1826.1,351.0,27.0,4860.0,1.0,27.0,162.0,45.0,72.0,45.0
IT_14_TYP_3,3.0,234.0,6230.8,5879.6,702.0,97.0,18225.0,3.0,97.0,351.0,117.0,117.0,117.0
IT_15_TYP_3,4.0,261.0,7742.8,7537.7,783.0,135.0,24300.0,3.0,135.0,360.0,99.0,162.0,99.0
IT_16_TYP_2,5.0,306.0,7552.9,8742.3,918.0,169.0,28350.0,2.0,169.0,378.0,72.0,234.0,72.0
IT_17_TYP_1,5.0,261.0,6008.2,5678.3,783.0,106.0,24570.0,1.0,106.0,333.0,72.0,189.0,72.0
IT_18_TYP_1,4.0,180.0,4047.7,4606.3,540.0,87.0,16848.0,1.0,87.0,234.0,54.0,126.0,54.0
IT_19_TYP_1,5.0,198.0,4183.6,4549.3,594.0,76.0,16335.0,1.0,76.0,270.0,72.0,126.0,72.0
