ITERATION,N_LEVELS,TOTAL_AREA,EXT_WALL_M2,INT_WALLS_M2,VOL_BLD,N_APTS,VOL_BBOX,TYPOLOGY,SLABS_M2,EXT_SLABS_M2,INT_SLABS_M2,ROOFS_M2
IT_0_TYP_3,2.0,3114.0,2430.0,5013.0,9342.0,83.0,12150.0,3.0,4770.0,1656.0,1458.0,1656.0
IT_1_TYP_1,2.0,1737.0,1548.0,2700.0,5211.0,47.0,10584.0,1.0,2709.0,972.0,765.0,972.0
IT_2_TYP_1,3.0,2394.0,2052.0,3762.0,7182.0,68.0,13689.0,1.0,3294.0,900.0,1494.0,900.0
IT_3_TYP_1,3.0,2214.0,1836.0,3510.0,6642.0,61.0,11664.0,1.0,3024.0,810.0,1404.0,810.0
IT_4_TYP_1,5.0,2871.0,2502.0,4491.0,8613.0,87.0,13500.0,1.0,3573.0,702.0,2169.0,702.0
IT_5_TYP_1,5.0,2070.0,1998.0,3141.0,6210.0,56.0,8640.0,1.0,2619.0,549.0,1521.0,549.0
IT_6_TYP_1,4.0,1314.0,1296.0,1980.0,3942.0,35.0,5292.0,1.0,1710.0,396.0,918.0,396.0
IT_7_TYP_0,4.0,675.0,936.0,882.0,2025.0,17.0,2700.0,0.0,900.0,225.0,450.0,225.0
IT_8_TYP_0,6.0,900.0,1260.0,1170.0,2700.0,22.0,4050.0,0.0,1107.0,207.0,693.0,207.0
IT_9_TYP_0,8.0,1350.0,1782.0,1809.0,4050.0,30.0,5400.0,0.0,1620.0,270.0,1080.0,270.0
IT_10_TYP_1,3.0,2655.0,2232.0,4194.0,7965.0,77.0,15876.0,1.0,3654.0,999.0,1656.0,999.0
IT_11_TYP_1,4.0,3024.0,2376.0,4860.0,9072.0,89.0,15552.0,1.0,3843.0,819.0,2205.0,819.0
IT_12_TYP_1,5.0,2466.0,2178.0,3843.0,7398.0,69.0,10935.0,1.0,3105.0,639.0,1827.0,639.0
IT_13_TYP_1,5.0,1260.0,1440.0,1800.0,3780.0,34.0,4860.0,1.0,1557.0,297.0,963.0,297.0
IT_14_TYP_3,3.0,4689.0,3456.0,7650.0,14067.0,133.0,18225.0,3.0,6417.0,1728.0,2961.0,1728.0
IT_15_TYP_3,4.0,6066.0,4806.0,9729.0,18198.0,172.0,24300.0,3.0,7902.0,1836.0,4230.0,1836.0
IT_16_TYP_2,5.0,6120.0,5238.0,9621.0,18360.0,176.0,28350.0,2.0,7695.0,1575.0,4545.0,1575.0
IT_17_TYP_1,5.0,4203.0,3402.0,6705.0,12609.0,124.0,24570.0,1.0,5238.0,1035.0,3168.0,1035.0
IT_18_TYP_1,4.0,3024.0,2520.0,4788.0,9072.0,83.0,16848.0,1.0,3879.0,855.0,2169.0,855.0
IT_19_TYP_1,5.0,3150.0,2988.0,4806.0,9450.0,89.0,16335.0,1.0,3879.0,729.0,2421.0,729.0
IT_20_TYP_1,6.0,2871.0,2808.0,4338.0,8613.0,82.0,13122.0,1.0,3510.0,639.0,2232.0,639.0
IT_21_TYP_1,6.0,2790.0,2466.0,4347.0,8370.0,78.0,11664.0,1.0,3384.0,594.0,2196.0,594.0
IT_22_TYP_1,6.0,2430.0,2412.0,3654.0,7290.0,65.0,10206.0,1.0,2979.0,549.0,1881.0,549.0
IT_23_TYP_1,6.0,2214.0,2142.0,3357.0,6642.0,58.0,8748.0,1.0,2709.0,495.0,1719.0,495.0
IT_24_TYP_1,6.0,2007.0,1998.0,3015.0,6021.0,53.0,7776.0,1.0,2466.0,459.0,1548.0,459.0
IT_25_TYP_3,4.0,6489.0,4860.0,10548.0,19467.0,193.0,25920.0,3.0,8379.0,1890.0,4599.0,1890.0
IT_26_TYP_3,5.0,8082.0,6120.0,13104.0,24246.0,238.0,32400.0,3.0,10143.0,2061.0,6021.0,2061.0
IT_27_TYP_3,6.0,9666.0,7434.0,15615.0,28998.0,278.0,38880.0,3.0,11808.0,2142.0,7524.0,2142.0
IT_28_TYP_2,6.0,7533.0,6408.0,11862.0,22599.0,211.0,34020.0,2.0,9279.0,1746.0,5787.0,1746.0
IT_29_TYP_1,6.0,4932.0,4284.0,7722.0,14796.0,134.0,29484.0,1.0,5985.0,1053.0,3879.0,1053.0
IT_30_TYP_1,7.0,4968.0,4698.0,7587.0,14904.0,141.0,27216.0,1.0,6093.0,1125.0,3843.0,1125.0
IT_31_TYP_1,6.0,3681.0,3294.0,5715.0,11043.0,108.0,17820.0,1.0,4464.0,783.0,2898.0,783.0
IT_32_TYP_1,6.0,3285.0,2826.0,5157.0,9855.0,91.0,14256.0,1.0,3987.0,702.0,2583.0,702.0
IT_33_TYP_1,6.0,2637.0,2556.0,3996.0,7911.0,72.0,11340.0,1.0,3231.0,594.0,2043.0,594.0
IT_34_TYP_3,7.0,12663.0,10314.0,20169.0,37989.0,350.0,54432.0,3.0,15309.0,2646.0,10017.0,2646.0
IT_35_TYP_3,7.0,12195.0,9666.0,19557.0,36585.0,337.0,51408.0,3.0,14724.0,2529.0,9666.0,2529.0
IT_36_TYP_3,7.0,11259.0,8694.0,18171.0,33777.0,323.0,45360.0,3.0,13563.0,2304.0,8955.0,2304.0
IT_37_TYP_2,7.0,8892.0,7758.0,13905.0,26676.0,255.0,42336.0,2.0,10755.0,1863.0,7029.0,1863.0
IT_38_TYP_2,8.0,9936.0,8568.0,15588.0,29808.0,271.0,45360.0,2.0,11709.0,1773.0,8163.0,1773.0
IT_39_TYP_1,8.0,6165.0,5544.0,9558.0,18495.0,165.0,36504.0,1.0,7164.0,999.0,5166.0,999.0
IT_40_TYP_1,7.0,4932.0,4608.0,7560.0,14796.0,141.0,27027.0,1.0,5976.0,1044.0,3888.0,1044.0
IT_41_TYP_1,7.0,4095.0,3888.0,6246.0,12285.0,118.0,20412.0,1.0,4941.0,846.0,3249.0,846.0
IT_42_TYP_1,6.0,3528.0,3024.0,5544.0,10584.0,100.0,15552.0,1.0,4293.0,765.0,2763.0,765.0
IT_43_TYP_1,6.0,3078.0,2880.0,4716.0,9234.0,82.0,13608.0,1.0,3780.0,702.0,2376.0,702.0
