ITERATION,ID,LEVEL,USABLE_AREA,TOTAL_AREA,1BD,2BD,3BD,N_WALLS,WALLS_M2,N_EXT_WALLS,EXT_WALL_B_M2,N_EXT_CORR_WALL,EXT_CORR_WALL_M2,EXT_WALL_M2,N_INT_WALLS,INT_WALLS_M2,N_SLABS,SLABS_M2,N_EXT_SLABS,EXT_SLABS_M2,ROOF_M2,N_INT_SLABS,INT_SLABS_M2,N_WINDOWS,WINDOWS_M2,N_CORR_WINDOWS,CORR_WINDOWS_M2,N_DOORS,N_COLUMNS,VOLUME_M3,COMPACTNESS
BLD_3,50_70_0_12_1500_3000_True_0.3_36_0_40_20,0,0,0,0,0,0,56,183,,,56,183,,,,27,243,,,,,,,,56,321,,,729,
BLD_3,50_70_0_12_1500_3000_True_0.3_36_0_40_20,1,144,501,6,12,0,144,713,78,270,22,72,,44,371,75,675,,,,,,56,9,22,126,18,,2025,
BLD_3,50_70_0_12_1500_3000_True_0.3_36_0_40_20,2,126,348,6,10,0,120,620,54,162,20,65,,46,392,66,594,,,,,,41,9,20,115,16,,1782,
BLD_3,50_70_0_12_1500_3000_True_0.3_36_0_40_20,3,0,0,0,0,0,44,144,,,44,144,,,,92,450,,,,,,,,44,252,,,1350,
BLD_3,50_70_0_12_1500_3000_True_0.3_36_0_40_20,4,0,0,0,0,0,,,,,,,,,,1,,,,,,,,,,,,,3,
SUM,50_70_0_12_1500_3000_True_0.3_36_0_40_20,10,270,849,12,22,0,364,1660,132,432,142,464,896,90,763,261,1962,26,196,196,209,1570,97,18,142,814,34,,5889,0.188
BLD_4,50_70_0_12_1500_3000_True_0.3_36_50_40_20,0,0,0,0,0,0,56,183,,,56,183,,,,27,243,,,,,,,,56,321,,,729,
BLD_4,50_70_0_12_1500_3000_True_0.3_36_50_40_20,1,165,501,20,5,0,151,1026,70,423,16,52,,65,551,82,738,,,,,,46,9,16,92,25,,2214,
BLD_4,50_70_0_12_1500_3000_True_0.3_36_50_40_20,2,123,348,13,5,0,122,731,54,270,22,72,,46,389,65,585,,,,,,40,9,22,126,18,,1755,
BLD_4,50_70_0_12_1500_3000_True_0.3_36_50_40_20,3,0,0,0,0,0,44,144,,,44,144,,,,92,450,,,,,,,,44,252,,,1350,
BLD_4,50_70_0_12_1500_3000_True_0.3_36_50_40_20,4,0,0,0,0,0,,,,,,,,,,1,,,,,,,,,,,,,3,
SUM,50_70_0_12_1500_3000_True_0.3_36_50_40_20,10,288,849,33,10,0,373,2084,124,693,138,451,1144,111,940,267,2016,27,202,202,214,1613,86,18,138,791,43,,6051,0.225
BLD_5,50_70_0_12_1500_3000_True_0.3_36_75_40_20,0,0,0,0,0,0,56,183,,,56,183,,,,27,243,,,,,,,,56,321,,,729,
BLD_5,50_70_0_12_1500_3000_True_0.3_36_75_40_20,1,165,501,20,5,0,151,1026,70,423,16,52,,65,551,82,738,,,,,,46,9,16,92,25,,2214,
BLD_5,50_70_0_12_1500_3000_True_0.3_36_75_40_20,2,117,348,18,1,0,123,818,56,378,24,79,,43,361,63,567,,,,,,39,9,24,137,19,,1701,
BLD_5,50_70_0_12_1500_3000_True_0.3_36_75_40_20,3,0,0,0,0,0,44,144,,,44,144,,,,92,450,,,,,,,,44,252,,,1350,
BLD_5,50_70_0_12_1500_3000_True_0.3_36_75_40_20,4,0,0,0,0,0,,,,,,,,,,1,,,,,,,,,,,,,3,
SUM,50_70_0_12_1500_3000_True_0.3_36_75_40_20,10,282,849,38,6,0,374,2171,126,801,140,458,1259,108,912,265,1998,27,200,200,212,1598,85,18,140,802,44,,5997,0.246
BLD_6,50_70_0_12_1500_3000_True_0.3_36_100_40_20,0,0,0,0,0,0,56,183,,,56,183,,,,27,243,,,,,,,,56,321,,,729,
BLD_6,50_70_0_12_1500_3000_True_0.3_36_100_40_20,1,168,501,28,0,0,151,1166,62,495,16,52,,73,619,83,747,,,,,,40,9,16,92,28,,2241,
BLD_6,50_70_0_12_1500_3000_True_0.3_36_100_40_20,2,114,348,19,0,0,121,836,54,396,24,79,,43,361,62,558,,,,,,37,9,24,137,19,,1674,
BLD_6,50_70_0_12_1500_3000_True_0.3_36_100_40_20,3,0,0,0,0,0,44,144,,,44,144,,,,92,450,,,,,,,,44,252,,,1350,
